date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:39:18	254469/254469	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-3e205%22	https://cdn.davisawning.com/home/billboard-partners-small.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/billboard-partners-small.jpg	(from https://davisawning.com/)
07:39:18	71738/71738	---MCZ	200	added ('OK')	text/html	etag:W/%226954f01e-1183a%22	https://davisawning.com/full-cassette-awning/	C:/Users/Hi/Desktop/mm/00/davisawning.com/full-cassette-awning/index.html	(from https://davisawning.com/)
07:39:18	95308/95308	---M--	200	added ('OK')	image/png	etag:%226936913c-1744c%22	https://cdn.davisawning.com/home/retractable-roof.png	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/retractable-roof.png	(from https://davisawning.com/)
07:39:18	96503/96503	---M--	200	added ('OK')	image/png	etag:%226936913c-178f7%22	https://cdn.davisawning.com/home/bioclimate-pergola.png	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/bioclimate-pergola.png	(from https://davisawning.com/)
07:39:19	71832/71832	---MCZ	200	added ('OK')	text/html	etag:W/%226954f01e-11898%22	https://davisawning.com/bioclimate-pergola/	C:/Users/Hi/Desktop/mm/00/davisawning.com/bioclimate-pergola/index.html	(from https://davisawning.com/)
07:39:19	225786/225786	---M--	200	added ('OK')	image/png	etag:%226936913c-371fa%22	https://cdn.davisawning.com/home/zip-screen.png	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/zip-screen.png	(from https://davisawning.com/)
07:39:20	156412/156412	---MCZ	200	added ('OK')	text/html	etag:W/%226954f01e-262fc%22	https://davisawning.com/window-awning/	C:/Users/Hi/Desktop/mm/00/davisawning.com/window-awning/index.html	(from https://davisawning.com/)
07:39:20	125439/125439	---M--	200	added ('OK')	image/png	etag:%226936913c-1e9ff%22	https://cdn.davisawning.com/home/window-awning.png	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/window-awning.png	(from https://davisawning.com/)
07:39:20	138627/138627	---MCZ	200	added ('OK')	text/html	etag:W/%226954f01e-21d83%22	https://davisawning.com/zip-screen/	C:/Users/Hi/Desktop/mm/00/davisawning.com/zip-screen/index.html	(from https://davisawning.com/)
07:39:20	144349/144349	---MCZ	200	added ('OK')	text/html	etag:W/%226954f01e-233dd%22	https://davisawning.com/original-awning/	C:/Users/Hi/Desktop/mm/00/davisawning.com/original-awning/index.html	(from https://davisawning.com/)
07:39:20	141544/141544	---M--	200	added ('OK')	image/png	etag:%226936913c-228e8%22	https://cdn.davisawning.com/home/original-awning.png	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/original-awning.png	(from https://davisawning.com/)
07:39:21	115661/115661	---M--	200	added ('OK')	image/png	etag:%226936913c-1c3cd%22	https://cdn.davisawning.com/home/external-roof-blinds.png	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/external-roof-blinds.png	(from https://davisawning.com/)
07:39:21	71620/71620	---MCZ	200	added ('OK')	text/html	etag:W/%226954f01e-117c4%22	https://davisawning.com/external-roof-blinds/	C:/Users/Hi/Desktop/mm/00/davisawning.com/external-roof-blinds/index.html	(from https://davisawning.com/)
07:39:21	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202026%2023:39:21%20GMT	https://cdn.davisawning.com/about/icon-manufacturing-base.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/about/icon-manufacturing-base.jpg	(from https://davisawning.com/)
07:39:21	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202026%2023:39:21%20GMT	https://cdn.davisawning.com/about/icon-showroom.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/about/icon-showroom.jpg	(from https://davisawning.com/)
07:39:21	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202026%2023:39:21%20GMT	https://cdn.davisawning.com/about/icon-completed-projects.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/about/icon-completed-projects.jpg	(from https://davisawning.com/)
07:39:21	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202026%2023:39:22%20GMT	https://cdn.davisawning.com/about/icon-export-to-70-countries.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/about/icon-export-to-70-countries.jpg	(from https://davisawning.com/)
07:39:22	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202026%2023:39:22%20GMT	https://cdn.davisawning.com/about/icon-30-rd-team-members.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/about/icon-30-rd-team-members.jpg	(from https://davisawning.com/)
07:39:22	162/162	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2014%20Jan%202026%2023:39:22%20GMT	https://cdn.davisawning.com/about/icon-200-national-patents.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/about/icon-200-national-patents.jpg	(from https://davisawning.com/)
07:39:22	135947/135947	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-2130b%22	https://cdn.davisawning.com/about/about.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/about/about.jpg	(from https://davisawning.com/)
07:39:23	112540/112540	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-1b79c%22	https://cdn.davisawning.com/about/factory-interior-environment-1.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/about/factory-interior-environment-1.jpg	(from https://davisawning.com/)
07:39:23	114313/114313	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-1be89%22	https://cdn.davisawning.com/about/factory-interior-environment-2.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/about/factory-interior-environment-2.jpg	(from https://davisawning.com/)
07:39:24	81119/81119	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-13cdf%22	https://cdn.davisawning.com/about/indoor-showroom-environment.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/about/indoor-showroom-environment.jpg	(from https://davisawning.com/)
07:39:25	86422/86422	---M--	200	added ('OK')	image/jpeg	etag:%226936913d-15196%22	https://cdn.davisawning.com/why-choose-us/expert-in-customized-design-solutions.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/why-choose-us/expert-in-customized-design-solutions.jpg	(from https://davisawning.com/)
07:39:25	112747/112747	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-1b86b%22	https://cdn.davisawning.com/about/rooftop-showroom-environment.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/about/rooftop-showroom-environment.jpg	(from https://davisawning.com/)
07:39:25	73473/73473	---M--	200	added ('OK')	image/jpeg	etag:%226936913d-11f01%22	https://cdn.davisawning.com/why-choose-us/quick-3d-printed-sample-prototyping.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/why-choose-us/quick-3d-printed-sample-prototyping.jpg	(from https://davisawning.com/)
07:39:25	93719/93719	---M--	200	added ('OK')	image/jpeg	etag:%226936913d-16e17%22	https://cdn.davisawning.com/why-choose-us/site-based-design-technical-drawings.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/why-choose-us/site-based-design-technical-drawings.jpg	(from https://davisawning.com/)
07:39:26	118862/118862	---M--	200	added ('OK')	image/jpeg	etag:%226936913d-1d04e%22	https://cdn.davisawning.com/why-choose-us/hands-on-training-at-our-factory.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/why-choose-us/hands-on-training-at-our-factory.jpg	(from https://davisawning.com/)
07:39:26	96732/96732	---M--	200	added ('OK')	image/jpeg	etag:%226936913d-179dc%22	https://cdn.davisawning.com/why-choose-us/on-site-training-for-dealers.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/why-choose-us/on-site-training-for-dealers.jpg	(from https://davisawning.com/)
07:39:26	97317/97317	---M--	200	added ('OK')	image/jpeg	etag:%226936913d-17c25%22	https://cdn.davisawning.com/why-choose-us/professional-site-supervision-guidance.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/why-choose-us/professional-site-supervision-guidance.jpg	(from https://davisawning.com/)
07:39:27	116497/116497	---M--	200	added ('OK')	image/jpeg	etag:%226936913d-1c711%22	https://cdn.davisawning.com/why-choose-us/international-installation-support.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/why-choose-us/international-installation-support.jpg	(from https://davisawning.com/)
07:39:27	139358/139358	---M--	200	added ('OK')	image/jpeg	etag:%226936913d-2205e%22	https://cdn.davisawning.com/why-choose-us/20-years-of-global-project-experience.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/why-choose-us/20-years-of-global-project-experience.jpg	(from https://davisawning.com/)
07:39:27	65856/65856	---M--	200	added ('OK')	image/jpeg	etag:%226936913d-10140%22	https://cdn.davisawning.com/why-choose-us/reliable-after-sales-support-warranty.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/why-choose-us/reliable-after-sales-support-warranty.jpg	(from https://davisawning.com/)
07:39:27	12775/12775	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-31e7%22	https://cdn.davisawning.com/home/sauleda.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/sauleda.jpg	(from https://davisawning.com/)
07:39:28	9278/9278	---M--	200	added ('OK')	image/jpeg	etag:%226936913c-243e%22	https://cdn.davisawning.com/home/dooya.jpg	C:/Users/Hi/Desktop/mm/00/cdn.davisawning.com/home/dooya.jpg	(from https://davisawning.com/)
